POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y
2,2020-01-18,3,C,7,3,2,4,6,9,16,21,21,20,21,17,10,9,9,10,8,9,10,9,2,3,0,3,229,WEMPERHARDT Frontière,N12,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,71763.83,135930.69
7,2020-01-18,3,C,2,0,0,0,2,1,13,12,10,7,6,8,3,2,6,5,4,7,2,2,1,0,1,0,94,WASSERBILLIG Frontière,N1,Allemagne <-> Wasserbillig deux sens ,Allemagne,Wasserbillig,104390.6,86705.04
10,2020-01-18,3,C,2,3,4,3,1,1,11,12,11,5,10,6,10,11,8,5,12,5,2,3,2,0,1,1,129,REMICH Frontière,N2,Allemagne <-> Remich deux sens ,Allemagne,Remich,94650.09,67632.38
11,2020-01-18,3,C,0,0,0,0,2,1,0,1,0,4,2,4,2,3,1,1,2,4,5,3,0,1,0,0,36,WORMELDANGE Frontière,CR122B,Wormeldange <-> Allemagne deux sens ,Wormeldange,Allemagne,96998.64,74772.195
12,2020-01-18,3,C,0,3,2,1,8,5,7,11,9,9,5,8,5,4,3,4,6,4,1,0,0,2,2,0,99,SCHENGEN Frontière,N10,Allemagne <-> Schengen deux sens ,Allemagne,Schengen,94452.04,59671.875
15,2020-01-18,3,C,0,0,0,0,0,0,1,1,0,5,2,3,0,0,2,2,1,1,0,1,0,1,0,0,20,DUDELANGE Frontière,CR184,France <-> Luxembourg deux sens ,France,Luxembourg,73685.16,58403.06
18,2020-01-18,3,C,30,27,25,37,39,82,64,71,82,98,77,52,53,39,52,43,46,30,22,23,26,10,15,8,1051,RODANGE Frontière Belgique,N5F,Belgique <-> Rodange deux sens ,Belgique,Rodange,54827.676,68064.97
20,2020-01-18,3,C,0,0,0,2,1,2,2,10,1,1,2,3,3,3,5,6,4,1,1,2,1,4,2,0,56,STEINFORT Frontière,N6,Belgique <-> Steinfort deux sens ,Belgique,Steinfort,60990.77,80497.3
21,2020-01-18,3,C,5,1,1,4,7,12,17,22,28,24,23,23,16,15,18,12,10,14,13,10,8,8,7,5,303,CAP,N6,Windhof <-> Capellen deux sens ,Windhof,Capellen,65806.37,79096.31
24,2020-01-18,3,C,2,3,3,3,3,6,9,12,11,16,11,9,11,14,9,11,10,9,11,9,6,9,6,6,199,RODANGE,N5,France <-> Rodange deux sens ,France,Rodange,55248.91,68011.25
