,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
0,2,2020-01-18,3,C,7,3,2,4,6,9,16,21,21,20,21,17,10,9,9,10,8,9,10,9,2,3,0,3,229,WEMPERHARDT Frontière,N12,Belgique <-> Wemperhardt deux sens ,Belgique,Wemperhardt,71763.83,135930.69,62,27
1,7,2020-01-18,3,C,2,0,0,0,2,1,13,12,10,7,6,8,3,2,6,5,4,7,2,2,1,0,1,0,94,WASSERBILLIG Frontière,N1,Allemagne <-> Wasserbillig deux sens ,Allemagne,Wasserbillig,104390.6,86705.04,29,13
2,10,2020-01-18,3,C,2,3,4,3,1,1,11,12,11,5,10,6,10,11,8,5,12,5,2,3,2,0,1,1,129,REMICH Frontière,N2,Allemagne <-> Remich deux sens ,Allemagne,Remich,94650.09,67632.38,28,19
3,11,2020-01-18,3,C,0,0,0,0,2,1,0,1,0,4,2,4,2,3,1,1,2,4,5,3,0,1,0,0,36,WORMELDANGE Frontière,CR122B,Wormeldange <-> Allemagne deux sens ,Wormeldange,Allemagne,96998.64,74772.195,5,11
4,12,2020-01-18,3,C,0,3,2,1,8,5,7,11,9,9,5,8,5,4,3,4,6,4,1,0,0,2,2,0,99,SCHENGEN Frontière,N10,Allemagne <-> Schengen deux sens ,Allemagne,Schengen,94452.04,59671.875,29,11
5,15,2020-01-18,3,C,0,0,0,0,0,0,1,1,0,5,2,3,0,0,2,2,1,1,0,1,0,1,0,0,20,DUDELANGE Frontière,CR184,France <-> Luxembourg deux sens ,France,Luxembourg,73685.16,58403.06,6,2
6,18,2020-01-18,3,C,30,27,25,37,39,82,64,71,82,98,77,52,53,39,52,43,46,30,22,23,26,10,15,8,1051,RODANGE Frontière Belgique,N5F,Belgique <-> Rodange deux sens ,Belgique,Rodange,54827.676,68064.97,251,98
7,20,2020-01-18,3,C,0,0,0,2,1,2,2,10,1,1,2,3,3,3,5,6,4,1,1,2,1,4,2,0,56,STEINFORT Frontière,N6,Belgique <-> Steinfort deux sens ,Belgique,Steinfort,60990.77,80497.3,12,6
8,21,2020-01-18,3,C,5,1,1,4,7,12,17,22,28,24,23,23,16,15,18,12,10,14,13,10,8,8,7,5,303,CAP,N6,Windhof <-> Capellen deux sens ,Windhof,Capellen,65806.37,79096.31,74,37
9,24,2020-01-18,3,C,2,3,3,3,3,6,9,12,11,16,11,9,11,14,9,11,10,9,11,9,6,9,6,6,199,RODANGE,N5,France <-> Rodange deux sens ,France,Rodange,55248.91,68011.25,39,30
10,25,2020-01-18,3,C,2,2,1,5,1,6,12,11,6,7,14,10,6,10,11,7,8,4,2,0,2,3,1,1,132,PETANGE,N5b,Pétange <-> Athus deux sens ,Pétange,Athus,57345.37,69400.0,24,14
11,26,2020-01-18,3,C,10,12,8,18,25,37,59,60,44,45,52,42,35,29,27,28,26,20,19,15,11,11,7,11,651,PETANGE,N31,Lamadelaine <-> Biff deux sens ,Lamadelaine,Biff,58072.58,69260.56,149,65
12,27,2020-01-18,3,C,0,0,0,2,0,0,0,1,1,2,0,1,2,5,1,3,3,3,2,1,1,0,0,0,28,VIANDEN Frontière,N17A,Allemagne <-> Luxembourg deux sens ,Allemagne,Luxembourg,84055.21,110409.38,4,8
13,29,2020-01-18,3,C,3,7,8,7,4,7,4,11,11,13,8,10,8,8,10,9,6,6,7,4,6,2,0,1,160,GREVENMACHER Frontière,N10A,Allemagne <-> Grevenmacher deux sens ,Allemagne,Grevenmacher,99794.3,82493.125,35,19
14,30,2020-01-18,3,C,0,1,2,1,6,6,7,8,13,11,11,9,6,6,3,3,2,3,2,0,1,3,1,1,106,FRISANGE Frontière,N3,France <-> Frisange deux sens ,France,Frisange,81513.98,64407.594,32,7
15,58,2020-01-18,3,C,0,0,0,0,1,0,2,1,2,2,4,2,0,3,6,3,1,5,1,1,0,0,0,1,35,FRISANGE,N3,Frisange <-> France deux sens ,Frisange,France,81808.0,63523.0,5,7
16,202,2020-01-18,3,C,0,1,2,3,0,5,8,17,10,13,6,11,8,15,6,7,9,11,9,5,5,5,2,4,162,QUATRE-VENTS,N12,Dondelange <-> Quatre-Vents deux sens ,Dondelange,Quatre-Vents,70927.0,82759.0,40,29
17,203,2020-01-18,3,C,2,1,1,2,0,4,7,21,9,5,6,7,6,6,7,10,11,10,10,5,5,5,4,3,147,QUATRE-VENTS,N12,Kopstal <-> Quatre-Vents deux sens ,Kopstal,Quatre-Vents,71158.0,82433.0,35,31
18,291,2020-01-18,3,C,2,2,2,2,3,0,3,4,3,5,7,4,4,5,4,4,4,4,5,5,4,7,4,3,90,Belvaux,CR191a,Belvaux <-> Esch-Belval deux sens ,Belvaux,Esch-Belval,63394.766,62919.67,12,13
19,304,2020-01-18,3,C,4,3,5,4,10,18,22,24,31,22,24,19,14,9,11,10,15,9,10,11,7,5,4,5,296,SPRINKANGE,N5,Schouweiler <-> Dippach deux sens ,Schouweiler,Dippach,65600.78,72448.55,77,34
20,326,2020-01-18,3,C,0,2,1,3,1,6,14,16,15,15,11,14,15,15,12,11,8,11,9,9,8,2,2,5,205,FRISANGE,N13,Aspelt <-> Frisange deux sens ,Aspelt,Frisange,82407.0,64695.0,46,28
21,327,2020-01-18,3,C,0,1,1,3,3,2,4,9,6,12,11,12,7,8,7,7,5,6,2,6,4,1,4,0,121,HELLANGE,N13,Rond-point Hellange <-> Hellange deux sens ,Rond-point Hellange,Hellange,77896.0,63437.0,27,13
22,345,2020-01-18,3,C,2,1,4,2,3,5,6,7,12,11,13,16,7,8,13,8,13,9,6,2,8,1,0,2,159,BETTEMBOURG,N31,Bettembourg <-> Luxembourg deux sens ,Bettembourg,Luxembourg,75075.93,65482.97,30,28
23,390,2020-01-18,3,C,3,2,0,3,1,2,13,22,15,15,13,14,13,12,9,13,15,11,11,8,5,5,5,4,214,SIEWEBUREN,N12,Siewebueren <-> Bridel deux sens ,Siewebueren,Bridel,74099.87,77610.51,52,37
24,400,2020-01-18,3,C,15,8,10,10,6,16,31,30,25,26,28,27,28,23,21,20,22,23,24,19,22,14,19,14,481,BONNEVOIE,N2,Pulvermuehl/Hamm <-> Luxembourg Gare deux sens ,Pulvermuehl/Hamm,Luxembourg Gare,78434.0,74849.0,81,69
