,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
253,525,2020-01-18,2,C,1,0,0,1,1,1,2,6,4,3,3,3,2,3,2,2,2,2,1,1,2,1,1,0,44,ANGELSBERG,CR118,Mersch vers Larochette,Larochette,Mersch,79535.66,92442.2,13,5
254,525,2020-01-18,3,C,1,0,0,2,1,1,5,6,6,5,4,7,3,7,3,5,5,5,5,2,3,2,1,2,81,ANGELSBERG,CR118,Larochette <-> Mersch deux sens ,Larochette,Mersch,79535.66,92442.2,17,15
255,602,2020-01-18,1,C,3,1,0,2,7,5,11,12,12,11,9,11,8,8,5,7,4,5,5,13,2,2,0,0,143,WEISWAMPACH,N7,Wemperhardt vers Weiswampach,Wemperhardt,Weiswampach,72299.13,134843.62,35,14
256,602,2020-01-18,2,C,3,2,4,4,3,8,11,12,14,11,13,15,10,10,9,8,11,14,12,12,5,2,1,2,196,WEISWAMPACH,N7,Weiswampach vers Wemperhardt,Wemperhardt,Weiswampach,72299.13,134843.62,37,37
257,602,2020-01-18,3,C,6,3,4,6,10,13,22,24,26,22,22,26,18,18,14,15,15,19,17,25,7,4,1,2,339,WEISWAMPACH,N7,Wemperhardt <-> Weiswampach deux sens ,Wemperhardt,Weiswampach,72299.13,134843.62,72,51
258,604,2020-01-18,1,C,1,0,2,1,0,1,6,5,8,8,7,6,3,6,6,5,5,3,2,3,1,0,1,2,82,TROISVIERGES,N12,Wilwerdange vers Asselborn,Wilwerdange,Asselborn,68095.63,132528.28,21,10
259,604,2020-01-18,2,C,2,0,0,1,3,3,3,9,3,6,7,6,5,5,2,4,2,5,3,3,1,0,0,0,73,TROISVIERGES,N12,Asselborn vers Wilwerdange,Wilwerdange,Asselborn,68095.63,132528.28,18,10
260,604,2020-01-18,3,C,3,0,2,2,3,4,9,14,11,14,14,12,8,11,8,9,7,8,5,6,2,0,1,2,155,TROISVIERGES,N12,Wilwerdange <-> Asselborn deux sens ,Wilwerdange,Asselborn,68095.63,132528.28,39,20
261,610,2020-01-18,1,C,1,1,0,9,6,5,8,13,13,12,12,20,6,6,6,9,3,5,5,6,2,3,0,0,151,DICKT,N7,Hosingen vers Hoscheid,Hosingen,Hoscheid,74344.13,114997.33,38,13
262,610,2020-01-18,2,C,1,5,2,6,5,9,16,16,13,18,20,10,12,6,13,8,12,12,13,6,4,2,3,0,212,DICKT,N7,Hoscheid vers Hosingen,Hosingen,Hoscheid,74344.13,114997.33,47,37
263,610,2020-01-18,3,C,2,6,2,15,11,14,24,29,26,30,32,30,18,12,19,17,15,17,18,12,6,5,3,0,363,DICKT,N7,Hosingen <-> Hoscheid deux sens ,Hosingen,Hoscheid,74344.13,114997.33,85,50
264,708,2020-01-18,1,C,0,1,0,3,3,2,5,5,8,9,3,6,3,4,2,4,7,4,2,3,1,1,2,0,78,MERTZIG,N21,Feulen vers Mertzig,Feulen,Mertzig,68947.51,100496.57,22,13
265,708,2020-01-18,2,C,2,0,0,1,1,2,6,3,4,3,8,2,5,2,3,7,10,4,4,2,1,2,0,3,75,MERTZIG,N21,Mertzig vers Feulen,Feulen,Mertzig,68947.51,100496.57,10,18
266,708,2020-01-18,3,C,2,1,0,4,4,4,11,8,12,12,11,8,8,6,5,11,17,8,6,5,2,3,2,3,153,MERTZIG,N21,Feulen <-> Mertzig deux sens ,Feulen,Mertzig,68947.51,100496.57,32,31
267,710,2020-01-18,1,C,3,1,1,4,9,8,27,9,17,0,2,3,1,1,5,4,1,4,5,6,1,4,2,1,119,ETTELBRUCK CONT.,B7,Friedhaff vers Ettelbruck,Friedhaff,Ettelbruck,75172.06,100627.21,26,10
268,710,2020-01-18,2,C,3,6,4,4,8,16,19,17,10,2,0,0,0,0,1,0,4,7,7,2,4,1,5,0,120,ETTELBRUCK CONT.,B7,Ettelbruck vers Friedhaff,Friedhaff,Ettelbruck,75172.06,100627.21,29,18
269,710,2020-01-18,3,C,6,7,5,8,17,24,46,26,27,2,2,3,1,1,6,4,5,11,12,8,5,5,7,1,239,ETTELBRUCK CONT.,B7,Friedhaff <-> Ettelbruck deux sens ,Friedhaff,Ettelbruck,75172.06,100627.21,55,28
270,711,2020-01-18,1,C,1,0,0,0,1,2,3,6,12,19,16,20,19,20,12,14,11,8,10,3,6,6,2,3,194,SCHIEREN,N7,Ettelbruck vers Colmar,Ettelbruck,Colmar,74927.53,100060.695,37,29
271,711,2020-01-18,2,C,1,1,0,1,1,5,5,6,24,32,31,32,16,16,24,26,17,6,5,7,5,2,3,3,269,SCHIEREN,N7,Colmar vers Ettelbruck,Ettelbruck,Colmar,74927.53,100060.695,62,28
272,711,2020-01-18,3,C,2,1,0,1,2,7,8,12,36,51,47,52,35,36,36,40,28,14,15,10,11,8,5,6,463,SCHIEREN,N7,Ettelbruck <-> Colmar deux sens ,Ettelbruck,Colmar,74927.53,100060.695,99,57
273,712,2020-01-18,1,C,1,2,0,0,0,3,5,5,6,6,9,6,3,7,7,6,4,4,6,4,0,4,3,2,93,WARKEN,CR348,Buerden vers Ettelbruck,Buerden,Ettelbruck,74576.27,102224.555,17,14
274,712,2020-01-18,2,C,2,2,0,1,1,3,5,6,5,4,7,8,5,7,6,6,5,4,5,4,1,2,4,2,95,WARKEN,CR348,Ettelbruck vers Buerden,Buerden,Ettelbruck,74576.27,102224.555,15,14
